PLAYER_ID,PLAYER_NAME,FIRST_NAME,LAST_NAME,POSITION,DRAFT_YEAR,HEIGHT_WO_SHOES,WEIGHT,WINGSPAN,STANDING_REACH,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH,LANE_AGILITY_TIME,THREE_QUARTER_SPRINT,STANDING_VERTICAL_LEAP,MAX_VERTICAL_LEAP,MODIFIED_LANE_AGILITY_TIME,GAMES_PLAYED,MINUTES,POINTS,REBOUNDS,ASSISTS,STEALS,BLOCKS,TURNOVERS,FIELD_GOAL_PCT,THREE_POINT_PCT,FREE_THROW_PCT,WINGSPAN_INCHES,STANDING_REACH_INCHES,PRA_PERMIN,SEASON,HEIGHT_W_SHOES
1627741,Buddy Hield,Buddy,Hield,SG,2016,75.75,212.4,81.25,101.0,6.1,8.5,9.0,,,,,,57.0,20.4,8.6,2.9,1.4,0.3,0.1,0.8,0.393,0.369,0.879,81.25,101.0,0.6323529411764707,2016,77.0
203912,C.J. Wilcox,C.J.,Wilcox,SG,2014,75.5,201.0,81.75,100.5,6.5,8.75,9.0,11.3,3.22,31.0,37.5,2.92,21.0,4.8,2.0,0.3,0.4,0.1,0.0,0.5,0.421,0.368,1.0,81.75,100.5,0.5625,2014,77.0
1629604,CJ Elleby,CJ,Elleby,SG-SF,2020,77.5,198.6,79.25,100.5,4.2,8.75,10.0,11.25,3.25,30.5,36.5,2.63,30.0,6.4,2.3,1.1,0.3,0.2,0.1,0.2,0.379,0.206,0.733,79.25,100.5,0.5781249999999999,2020,78.2
1628997,Caleb Martin,Caleb,Martin,SF-SG,2018,76.75,195.8,82.0,101.5,7.0,8.5,8.75,10.43,3.26,29.0,36.5,2.75,18.0,17.6,6.2,2.1,1.3,0.7,0.4,0.8,0.44,0.541,0.81,82.0,101.5,0.5454545454545455,2018,78.0
1628403,Caleb Swanigan,Caleb,Swanigan,PF,2016,79.5,246.6,87.5,107.0,12.55,9.0,10.25,12.8,,26.0,29.0,,27.0,7.0,2.3,2.0,0.5,0.2,0.1,0.7,0.4,0.125,0.667,87.5,107.0,0.6857142857142857,2016,80.5
1628403,Caleb Swanigan,Caleb,Swanigan,PF,2017,79.5,245.6,87.0,108.0,,9.5,10.25,,,,,,27.0,7.0,2.3,2.0,0.5,0.2,0.1,0.7,0.4,0.125,0.667,87.0,108.0,0.6857142857142857,2017,80.5
1641715,Cam Whitmore,Cam,Whitmore,SF,2023,77.75,235.0,80.5,103.5,,8.0,8.25,10.82,3.2,31.5,40.5,3.33,47.0,18.7,12.3,3.8,0.7,0.6,0.4,1.0,0.454,0.359,0.679,80.5,103.5,0.8983957219251337,2023,
203946,Cameron Bairstow,Cameron,Bairstow,PF,2014,80.75,252.4,84.75,107.0,8.7,8.75,9.0,11.39,3.37,31.0,33.5,3.09,18.0,3.6,0.6,0.4,0.1,0.1,0.1,0.2,0.214,0.0,0.8,84.75,107.0,0.3055555555555556,2014,81.75
1629661,Cameron Johnson,Cameron,Johnson,SG,2019,79.0,205.2,82.0,103.0,5.8,8.0,8.5,10.52,3.26,30.5,36.5,3.28,57.0,22.0,8.8,3.3,1.2,0.6,0.4,0.6,0.435,0.39,0.807,82.0,103.0,0.6045454545454546,2019,80.5
1628419,Cameron Oliver,Cameron,Oliver,PF,2017,79.0,238.6,85.25,106.5,7.7,9.5,10.25,12.17,3.16,28.0,39.5,3.31,4.0,21.8,10.8,5.3,1.3,0.5,1.0,0.8,0.576,0.308,0.25,85.25,106.5,0.798165137614679,2017,80.25
